"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2024","22,944.80","22,947.75","22,985.95","22,889.35","630.44M","0.13%"
"02-03-2024","22,915.70","22,935.15","22,951.95","22,903.70","61.64M","0.23%"
"01-03-2024","22,862.05","22,605.70","22,874.45","22,604.65","618.46M","1.49%"
"29-02-2024","22,526.30","22,441.95","22,609.35","22,358.20","1.15B","0.31%"
"28-02-2024","22,457.65","22,746.40","22,764.55","22,421.45","536.76M","-1.16%"
"27-02-2024","22,722.30","22,643.65","22,753.00","22,641.00","503.63M","0.24%"
"26-02-2024","22,667.75","22,698.70","22,743.40","22,617.30","476.76M","-0.29%"
"23-02-2024","22,734.30","22,798.65","22,804.80","22,704.90","566.45M","0.04%"
"22-02-2024","22,725.40","22,587.15","22,759.05","22,389.85","625.41M","0.79%"
"21-02-2024","22,547.60","22,743.65","22,757.25","22,488.50","693.06M","-0.61%"
"20-02-2024","22,685.65","22,604.75","22,704.35","22,545.85","566.92M","0.30%"
"19-02-2024","22,618.25","22,611.65","22,686.05","22,527.75","500.54M","0.34%"
"16-02-2024","22,540.90","22,516.90","22,570.20","22,469.70","742.97M","0.60%"
"15-02-2024","22,405.55","22,398.40","22,447.55","22,301.65","889.78M","0.41%"
"14-02-2024","22,313.40","22,014.15","22,336.85","21,972.30","678.68M","0.59%"
"13-02-2024","22,181.60","22,090.50","22,196.85","21,934.80","724.94M","0.63%"
"12-02-2024","22,042.10","22,273.50","22,301.90","22,001.70","768.62M","-0.92%"
"09-02-2024","22,247.55","22,223.15","22,274.60","22,044.45","1.01B","0.20%"
"08-02-2024","22,202.75","22,456.40","22,459.95","22,150.80","1.06B","-0.72%"
"07-02-2024","22,363.70","22,428.65","22,437.65","22,261.95","810.24M","0.29%"
"06-02-2024","22,299.30","22,177.05","22,315.15","22,074.35","726.10M","0.84%"
"05-02-2024","22,113.40","22,284.15","22,329.70","22,064.15","915.60M","-0.39%"
"02-02-2024","22,199.00","22,158.70","22,444.75","22,155.00","983.74M","0.72%"
"01-02-2024","22,039.60","22,123.45","22,169.85","21,985.70","815.36M","-0.05%"
"31-01-2024","22,051.55","21,823.15","22,067.15","21,783.40","882.86M","0.94%"
"30-01-2024","21,846.20","22,088.60","22,120.35","21,826.05","774.43M","-0.89%"
"29-01-2024","22,041.60","21,752.10","22,066.75","21,744.20","831.97M","1.73%"
"25-01-2024","21,666.50","21,763.65","21,763.65","21,541.85","818.69M","-0.37%"
"24-01-2024","21,746.00","21,469.95","21,771.75","21,391.80","781.37M","1.11%"
"23-01-2024","21,506.80","22,037.65","22,054.85","21,464.75","906.35M","-1.71%"
"20-01-2024","21,880.50","22,003.95","22,019.60","21,854.55","376.85M","-0.16%"
"19-01-2024","21,916.00","21,882.80","21,942.85","21,849.65","697.37M","0.86%"
"18-01-2024","21,730.10","21,698.30","21,799.30","21,509.10","770.18M","-0.50%"
"17-01-2024","21,839.95","21,925.60","22,110.55","21,819.90","868.17M","-1.95%"
"16-01-2024","22,274.60","22,329.80","22,367.30","22,204.55","631.41M","-0.29%"
